iter	Passed	Remaining
0	3	3155
1	5	2883
2	8	2799
3	11	2785
4	12	2554
5	15	2549
6	17	2531
7	20	2542
8	23	2535
9	25	2550
10	28	2555
11	31	2560
12	33	2564
13	36	2564
14	38	2514
15	40	2513
16	43	2520
17	46	2525
18	48	2525
19	51	2531
20	53	2499
21	55	2481
22	58	2483
23	61	2486
24	64	2518
25	66	2484
26	68	2467
27	71	2474
28	73	2475
29	76	2481
30	79	2484
31	82	2482
32	84	2479
33	87	2480
34	89	2463
35	91	2462
36	94	2464
37	97	2467
38	100	2467
39	102	2464
40	105	2466
41	106	2438
42	109	2444
43	112	2446
44	115	2447
45	117	2445
46	120	2445
47	123	2447
48	126	2449
49	128	2446
50	131	2442
51	133	2441
52	136	2439
53	139	2437
54	141	2434
55	143	2424
56	146	2423
57	148	2419
58	151	2416
59	154	2414
60	156	2412
61	159	2407
62	161	2405
63	164	2402
64	167	2402
65	169	2398
66	172	2395
67	174	2391
68	177	2389
69	179	2386
70	182	2386
71	185	2390
72	188	2387
73	190	2384
74	193	2381
75	195	2377
76	198	2378
77	201	2381
78	203	2377
79	206	2375
80	209	2375
81	212	2379
82	215	2379
83	217	2376
84	220	2372
85	223	2370
86	225	2369
87	228	2366
88	230	2362
89	233	2359
90	235	2354
91	238	2351
92	240	2348
93	243	2344
94	245	2340
95	248	2336
96	250	2332
97	253	2331
98	255	2328
99	257	2316
100	259	2312
101	262	2309
102	264	2305
103	267	2301
104	269	2297
105	272	2294
106	274	2290
107	276	2286
108	279	2283
109	280	2270
110	283	2267
111	286	2268
112	289	2268
113	291	2266
114	294	2264
115	296	2261
116	299	2259
117	301	2256
118	304	2252
119	306	2249
120	309	2245
121	311	2242
122	314	2240
123	316	2237
124	319	2233
125	321	2229
126	323	2226
127	326	2222
128	328	2218
129	331	2215
130	333	2211
131	335	2208
132	338	2206
133	340	2203
134	343	2201
135	346	2199
136	348	2195
137	351	2192
138	353	2190
139	356	2187
140	358	2185
141	361	2183
142	364	2182
143	366	2180
144	369	2178
145	371	2175
146	374	2174
147	377	2172
148	379	2170
149	382	2167
150	385	2166
151	388	2165
152	390	2164
153	393	2162
154	396	2160
155	399	2159
156	401	2157
157	404	2155
158	407	2153
159	409	2151
160	412	2149
161	415	2147
162	417	2146
163	420	2144
164	423	2143
165	426	2142
166	429	2140
167	431	2139
168	434	2138
169	437	2137
170	440	2135
171	443	2134
172	446	2132
173	448	2130
174	451	2128
175	454	2126
176	457	2125
177	459	2123
178	462	2120
179	465	2119
180	468	2119
181	471	2118
182	474	2116
183	476	2115
184	479	2114
185	483	2114
186	486	2114
187	489	2113
188	492	2112
189	495	2113
190	499	2113
191	502	2114
192	505	2115
193	509	2117
194	513	2118
195	516	2117
196	519	2116
197	522	2114
198	524	2112
199	527	2110
200	530	2108
201	533	2106
202	535	2103
203	538	2101
204	541	2100
205	544	2097
206	546	2094
207	549	2092
208	552	2090
209	554	2087
210	557	2085
211	560	2082
212	562	2080
213	565	2077
214	568	2074
215	571	2073
216	573	2070
217	576	2067
218	579	2065
219	581	2062
220	584	2059
221	586	2057
222	589	2054
223	592	2051
224	594	2049
225	597	2046
226	600	2044
227	603	2043
228	606	2041
229	609	2039
230	612	2037
231	614	2035
232	617	2033
233	620	2030
234	623	2028
235	625	2026
236	628	2023
237	631	2020
238	633	2018
239	636	2015
240	639	2012
241	641	2010
242	644	2007
243	647	2004
244	649	2001
245	652	1999
246	655	1997
247	657	1994
248	660	1992
249	663	1990
250	666	1987
251	668	1984
252	671	1981
253	674	1980
254	677	1978
255	679	1975
256	682	1974
257	685	1971
258	688	1969
259	691	1966
260	693	1964
261	696	1961
262	699	1958
263	701	1955
264	704	1953
265	707	1951
266	709	1948
267	712	1945
268	714	1942
269	717	1940
270	720	1937
271	723	1935
272	725	1932
273	728	1929
274	730	1926
275	733	1924
276	736	1922
277	739	1919
278	741	1917
279	744	1914
280	747	1911
281	749	1908
282	752	1906
283	755	1903
284	757	1900
285	760	1897
286	762	1895
287	765	1892
288	767	1889
289	770	1885
290	772	1882
291	775	1879
292	777	1877
293	780	1874
294	783	1872
295	786	1869
296	789	1867
297	791	1865
298	794	1862
299	797	1860
300	799	1857
301	802	1854
302	805	1852
303	807	1849
304	810	1846
305	812	1843
306	815	1841
307	818	1838
308	820	1835
309	823	1832
310	826	1830
311	829	1828
312	831	1825
313	834	1822
314	837	1820
